pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timech
0,0,-175,0,0,-2,81,84,129,110,79,93.34,270,-1,-38,-1230,0.102
0,0,-175,0,0,-4,81,84,132,110,79,93.35,270,1,-3,-1129,0.102
0,0,-175,0,0,-5,81,84,135,120,79,93.27,270,3,-22,-1142,0.102
0,0,-175,0,0,-7,81,84,142,120,79,93.57,270,5,2,-1116,0.102
0,0,-176,0,0,-8,81,84,151,130,79,93.65,271,-1,-14,-1071,0.102
0,0,-176,0,0,-9,81,84,159,140,79,93.62,271,5,-12,-1052,0.102
0,0,-176,0,0,-9,81,84,169,150,79,93.69,271,17,-18,-1030,0.102
0,0,-176,0,0,-9,81,84,179,160,79,94.15,271,14,-6,-994,0.102
0,0,-176,0,0,-9,81,84,188,170,79,93.8,271,27,-22,-986,0.102
0,0,-176,0,0,-9,80,83,199,180,79,94.02,271,25,-9,-972,0.102
1,0,-176,0,0,-9,80,83,209,190,79,93.93,271,29,-21,-966,0.102
1,0,-176,0,0,-8,80,83,218,200,79,94.15,271,12,-25,-936,0.102
1,0,-176,0,0,-8,80,83,227,210,79,94.08,271,50,-2,-943,0.102
1,1,-176,0,0,-7,80,83,237,220,79,94.16,271,50,10,-928,0.102
1,0,-176,0,0,-7,80,83,244,220,79,94.36,272,54,-4,-913,0.102
2,0,-176,0,0,-6,80,83,250,230,79,94.49,272,53,12,-943,0.102
2,0,-176,0,0,-6,80,83,258,240,79,94.71,272,57,0,-956,0.102
2,0,-176,0,0,-5,80,83,260,240,79,94.6,272,65,4,-954,0.102
2,0,-176,0,0,-5,80,83,270,250,79,94.76,272,47,26,-932,0.102
2,0,-176,0,0,-4,80,83,277,250,79,94.57,272,43,8,-947,0.102
2,0,-176,0,0,-4,80,83,278,260,79,94.78,272,63,11,-980,0.103
2,0,-176,0,0,-3,80,83,285,260,79,94.68,272,44,9,-969,0.101
2,0,-176,0,0,-3,80,83,289,260,79,94.68,272,59,-6,-976,0.102
2,0,-176,0,0,-3,80,83,290,270,79,94.68,272,69,8,-984,0.102
3,0,-176,0,0,-3,80,83,296,270,79,94.75,273,88,25,-971,0.102
3,0,-176,0,0,-2,80,83,299,270,79,94.67,273,72,2,-978,0.102
3,0,-176,0,0,-2,80,83,299,280,79,95.02,273,78,14,-975,0.102
3,0,-176,0,0,-2,80,83,305,280,79,94.82,273,64,6,-967,0.102
3,0,-176,0,0,-2,80,83,304,280,79,94.89,273,72,19,-996,0.051
3,0,-176,0,0,-2,81,83,306,280,79,95.05,273,84,-8,-993,0.153
3,0,-176,0,0,-1,81,83,310,290,79,94.66,273,74,-6,-978,0.052
3,0,-176,0,0,-1,81,83,308,290,79,94.87,273,86,-9,-1007,0.102
4,0,-176,-1,0,-1,81,83,314,290,79,94.69,273,83,2,-989,0.102
4,0,-176,0,0,-1,81,83,312,290,79,94.79,273,89,3,-976,0.102
4,0,-176,0,0,-1,81,83,316,290,79,95.26,274,93,19,-990,0.102
5,0,-176,0,0,-1,81,83,322,290,79,94.93,274,73,25,-964,0.102
5,0,-176,0,0,-1,81,83,325,300,79,94.96,274,82,12,-989,0.102
4,-1,-176,0,0,-1,81,83,321,300,79,95.25,274,77,22,-964,0.102
